ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2861,1.1827,10.1095,-0.1936,0.8439,9.7684,-0.1051,0.0195,-0.0073,4.1,16.0,-47.1,351.19,-5.1,1.07,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,51,2015-10-30 10:29:35:431
-0.243,0.7638,9.8785,-0.2388,0.7921,9.7717,-0.0709,-0.0147,-0.0391,4.4,16.4,-46.9,351.75,-4.78,1.37,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,153,2015-10-30 10:29:35:533
0.0527,0.8368,9.6426,-0.2436,0.7856,9.7721,0.1503,-0.1161,0.0611,4.9,16.6,-46.5,349.43,-4.59,1.43,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,256,2015-10-30 10:29:35:636
-0.2286,0.8499,9.8964,-0.2314,0.8423,9.7677,0.1014,-0.0049,0.0525,5.0,16.6,-46.1,349.34,-4.89,1.33,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,357,2015-10-30 10:29:35:737
-0.3675,0.8344,10.0736,-0.2083,0.8627,9.7664,-0.044,-0.0428,0.0244,5.0,16.6,-45.7,349.16,-5.05,1.22,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,459,2015-10-30 10:29:35:839
-0.4298,0.8033,9.5313,-0.2167,0.8416,9.7681,-0.0232,-0.0415,0.0501,4.9,16.6,-45.3,349.15,-4.9,1.29,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,561,2015-10-30 10:29:35:941
-0.5148,0.8332,9.1435,-0.3317,0.6401,9.7801,-0.3201,0.0757,0.0574,4.6,16.9,-45.0,349.74,-4.25,1.69,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,663,2015-10-30 10:29:36:043
-0.3184,0.7673,10.5177,-0.2929,0.5021,9.7894,-0.0403,-0.0977,0.1002,4.5,17.5,-44.8,349.8,-2.93,1.71,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,766,2015-10-30 10:29:36:146
-0.1293,0.844,10.1526,-0.2614,0.5938,9.7852,0.215,0.0415,0.0061,4.5,17.8,-44.6,349.37,-3.16,1.47,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,15 / 16,867,2015-10-30 10:29:36:247
-0.2251,0.8033,9.262,-0.3105,0.7924,9.7697,0.0904,0.0269,-0.1112,4.8,17.7,-44.6,350.22,-4.37,1.67,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,16 / 16,969,2015-10-30 10:29:36:349
-0.079,1.0463,9.2213,-0.2789,0.8437,9.7663,0.0489,-0.0538,-0.0525,5.0,17.3,-44.7,350.1,-4.83,1.75,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,16 / 16,1072,2015-10-30 10:29:36:452
-0.7254,0.844,9.7695,-0.1806,0.8228,9.7704,-0.0684,-0.1405,-0.0684,5.2,16.7,-45.2,348.63,-4.81,1.06,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,16 / 16,1173,2015-10-30 10:29:36:553
-0.4705,0.9984,10.0245,-0.0616,0.8368,9.7707,-0.0147,-0.0464,-0.055,4.9,16.7,-45.5,347.3,-4.91,0.4,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,16 / 16,1275,2015-10-30 10:29:36:655
-0.3986,0.9505,9.7097,-0.13,0.8812,9.7661,0.0843,0.0721,0.0269,4.6,16.7,-45.4,347.86,-5.01,0.65,36.814056,-119.74784,251.85,336.70235221782434,3.01,25.806452,202.39,16 / 16,1378,2015-10-30 10:29:36:758
