ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5207,0.7219,9.4786,-0.5421,0.4995,9.7789,0.0525,0.0171,-0.011,5.2,18.3,-44.7,352.86,-2.77,3.14,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,43,2015-10-30 10:28:53:614
-0.5016,0.5423,9.8964,-0.5346,0.5218,9.7782,0.0098,-0.0195,-0.0586,5.1,18.2,-44.7,352.85,-3.03,3.1,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,145,2015-10-30 10:28:53:716
-0.838,0.4477,9.3398,-0.544,0.5327,9.777,0.0208,-0.011,-0.0929,5.0,18.1,-44.4,352.87,-3.11,3.18,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,248,2015-10-30 10:28:53:819
-0.8715,0.5136,9.7827,-0.5132,0.5301,9.7789,-0.0281,-0.0892,-0.0134,4.8,18.1,-44.0,352.48,-3.1,3.0,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,350,2015-10-30 10:28:53:921
-0.6656,0.5411,9.1506,-0.522,0.571,9.7761,0.099,0.1185,0.0489,4.4,18.3,-43.8,354.94,-3.18,2.85,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,451,2015-10-30 10:28:54:022
-0.844,0.4992,9.3362,-0.5594,0.5598,9.7747,-0.0684,-0.0379,0.0367,4.3,18.3,-44.3,355.83,-3.36,3.25,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,553,2015-10-30 10:28:54:124
-0.4022,0.5926,9.8988,-0.5144,0.5227,9.7792,-0.0855,-0.0513,0.0464,4.5,18.2,-44.3,352.7,-3.17,3.1,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,655,2015-10-30 10:28:54:226
-0.5902,0.5255,9.3697,-0.5535,0.4749,9.7795,-0.0428,0.0941,0.0159,4.8,18.2,-44.4,352.7,-2.84,3.14,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,757,2015-10-30 10:28:54:328
-0.662,0.5794,9.9575,-0.5568,0.4217,9.7817,-0.0806,-0.0122,0.0501,5.2,18.2,-43.9,352.86,-2.46,3.26,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,860,2015-10-30 10:28:54:431
-0.6129,0.583,9.8833,-0.5494,0.3973,9.7832,-0.0379,-0.0208,0.0037,5.4,18.3,-44.0,352.72,-2.32,3.21,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,961,2015-10-30 10:28:54:532
-0.5938,0.5507,9.6833,-0.5283,0.4056,9.784,0.0,-0.0171,-0.0098,5.4,18.4,-44.0,352.57,-2.35,3.14,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1064,2015-10-30 10:28:54:635
-0.5842,0.5375,9.5876,-0.5079,0.4062,9.7851,-0.0037,-0.0134,0.0,5.3,18.5,-44.1,352.53,-2.36,2.95,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1165,2015-10-30 10:28:54:736
-0.723,0.4046,9.9048,-0.4998,0.401,9.7857,0.0061,-0.0061,0.0257,5.2,18.5,-44.0,352.49,-2.36,2.93,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1267,2015-10-30 10:28:54:838
-0.4082,0.6093,9.6067,-0.496,0.4074,9.7856,-0.0232,0.0024,-0.0147,5.1,18.5,-44.0,352.56,-2.42,2.96,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1369,2015-10-30 10:28:54:940
-0.4573,0.4729,9.4475,-0.5232,0.4205,9.7837,0.0379,0.0391,-0.0379,5.1,18.6,-43.8,352.54,-2.38,2.95,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1472,2015-10-30 10:28:55:043
-0.7278,0.346,9.7073,-0.5507,0.3926,9.7833,-0.0305,0.0513,-0.055,4.9,18.7,-43.8,353.08,-2.29,3.22,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1573,2015-10-30 10:28:55:144
-0.6213,0.5519,9.5912,-0.5458,0.3755,9.7842,-0.0379,-0.0232,0.0086,4.9,18.9,-43.7,353.12,-2.23,3.25,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1675,2015-10-30 10:28:55:246
-0.759,0.4369,9.8641,-0.5155,0.3492,9.7869,-0.0379,-0.0525,-0.0086,4.8,19.0,-43.7,352.77,-2.08,3.1,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1777,2015-10-30 10:28:55:348
-0.4908,0.4381,9.8462,-0.5007,0.3541,9.7875,0.0098,-0.0293,0.022,4.8,19.1,-43.6,352.4,-2.07,2.93,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1880,2015-10-30 10:28:55:451
-0.5806,0.4513,9.7336,-0.4916,0.3735,9.7872,-0.0098,-0.0147,0.0098,4.7,19.0,-43.8,352.32,-2.18,2.88,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,1982,2015-10-30 10:28:55:553
-0.5435,0.5686,9.5265,-0.5002,0.3736,9.7868,-0.0281,0.0012,0.0305,4.8,19.0,-43.9,352.37,-2.17,2.9,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2083,2015-10-30 10:28:55:654
-0.6369,0.4513,9.9491,-0.5003,0.3742,9.7867,0.0073,-0.0122,0.0171,4.9,19.0,-43.4,352.28,-2.19,2.93,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2185,2015-10-30 10:28:55:756
-0.6189,0.4525,9.645,-0.5123,0.4008,9.7851,0.0183,-0.0024,0.0159,4.9,19.0,-43.2,352.46,-2.34,3.0,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2287,2015-10-30 10:28:55:858
-0.5183,0.4513,9.6474,-0.5126,0.4223,9.7841,-0.0379,-0.022,0.0391,4.9,18.8,-43.0,352.57,-2.47,3.03,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2389,2015-10-30 10:28:55:960
-0.6045,0.4022,9.6415,-0.5065,0.4032,9.7853,0.0049,-0.0024,0.0513,4.9,18.8,-43.3,352.38,-2.37,2.95,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2491,2015-10-30 10:28:56:062
-0.5447,0.4956,9.6953,-0.5162,0.3844,9.7855,-0.0061,0.0269,0.0794,5.0,18.8,-43.5,352.49,-2.25,3.02,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2594,2015-10-30 10:28:56:165
-0.6393,0.4345,9.6833,-0.5392,0.389,9.7841,-0.0122,0.0489,0.1283,5.1,18.8,-43.5,352.78,-2.24,3.17,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2696,2015-10-30 10:28:56:267
-0.644,0.413,9.8114,-0.547,0.3654,9.7846,-0.0452,-0.0024,0.0611,5.5,18.8,-43.3,350.2,-2.12,3.25,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2797,2015-10-30 10:28:56:368
-0.5243,0.4369,9.8845,-0.5232,0.381,9.7853,0.0171,-0.0464,0.0513,5.8,18.7,-43.2,350.14,-2.17,3.2,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,2899,2015-10-30 10:28:56:470
-0.5016,0.4573,9.5373,-0.5174,0.4184,9.784,0.0574,-0.0098,0.0464,6.1,18.4,-43.6,349.51,-2.35,3.03,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3002,2015-10-30 10:28:56:573
-0.5866,0.2849,9.7719,-0.5039,0.4526,9.7832,-0.0367,-0.0489,-0.0379,6.1,18.2,-44.0,349.45,-2.65,2.95,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3103,2015-10-30 10:28:56:674
-0.565,0.401,9.5984,-0.476,0.4098,9.7865,-0.0232,0.0159,-0.0257,5.9,18.2,-44.5,349.0,-2.39,2.78,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3205,2015-10-30 10:28:56:776
-0.5662,0.6201,9.3099,-0.4979,0.3884,9.7863,0.0342,0.0318,0.0134,5.7,18.3,-44.7,349.39,-2.27,2.91,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3308,2015-10-30 10:28:56:879
-0.5614,0.5267,9.6857,-0.4925,0.3876,9.7866,-0.0183,0.0012,0.0098,5.7,18.4,-44.6,349.41,-2.27,2.92,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3410,2015-10-30 10:28:56:981
-0.4465,0.6404,9.645,-0.4957,0.3777,9.7868,-0.0183,0.0012,0.0134,5.8,18.5,-44.4,349.68,-2.21,2.9,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3511,2015-10-30 10:28:57:082
-0.5255,0.5567,9.8857,-0.4911,0.3808,9.7869,-0.011,0.0073,0.0,5.9,18.4,-44.3,349.07,-2.23,2.85,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3613,2015-10-30 10:28:57:184
-0.4513,0.5219,9.6606,-0.4883,0.3988,9.7864,0.044,0.0171,0.0086,5.9,18.3,-44.3,348.98,-2.27,2.8,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3715,2015-10-30 10:28:57:286
-0.6943,0.3771,9.6714,-0.4973,0.4184,9.7851,0.0147,0.0171,-0.0464,6.0,18.2,-44.2,349.14,-2.42,2.84,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3817,2015-10-30 10:28:57:388
-0.5902,0.3603,9.7947,-0.5053,0.4243,9.7844,-0.0159,-0.0318,0.0037,5.9,18.3,-44.2,349.4,-2.48,2.96,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,3920,2015-10-30 10:28:57:491
-0.5614,0.4812,9.6941,-0.5078,0.4121,9.7848,-0.0391,-0.0269,0.0147,5.9,18.3,-44.2,349.53,-2.47,3.02,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,4022,2015-10-30 10:28:57:593
-0.31,0.5986,9.6115,-0.4938,0.3885,9.7865,-0.0086,-0.0684,-0.0281,5.9,18.3,-44.0,349.35,-2.24,2.98,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,4123,2015-10-30 10:28:57:694
-0.5327,0.4166,10.0832,-0.4648,0.3809,9.7882,-0.0012,-0.0037,-0.0367,5.8,18.3,-43.7,348.79,-2.23,2.72,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,4225,2015-10-30 10:28:57:796
-0.4884,0.4872,9.7492,-0.4755,0.421,9.7861,0.055,0.0464,0.0024,5.8,18.3,-43.7,348.85,-2.38,2.72,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,4328,2015-10-30 10:28:57:899
-0.4657,0.5674,9.1686,-0.519,0.4839,9.7809,0.044,0.0721,-0.0061,5.7,18.4,-44.0,349.71,-2.83,3.04,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,4429,2015-10-30 10:28:58:000
-0.7877,0.4477,9.6594,-0.5504,0.4783,9.7795,-0.0342,-0.0159,-0.033,5.7,18.2,-44.2,350.07,-2.84,3.2,36.81413,-119.74787,263.92,336.7181468372709,0.54,19.35484,88.79,16 / 16,4531,2015-10-30 10:28:58:102
