accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.3268,-0.2526,9.9,-0.1337,-0.1165,9.805,0.0195,-0.055,-0.0086,-2.4,22.3,-43.5,6.86,0.68,0.78,45
-0.3591,-0.0335,9.8462,-0.1179,-0.0726,9.8057,0.0367,0.0244,0.0415,-2.4,22.1,-43.8,6.61,0.53,0.65,147
-0.3412,-0.1233,9.6426,-0.1484,-0.092,9.8051,-0.0452,-0.0134,0.0024,-2.5,21.9,-43.7,7.04,0.54,0.87,250
-0.2406,-0.0503,9.6929,-0.1319,-0.1066,9.8052,0.0183,-0.0281,0.011,-2.5,21.9,-43.5,6.92,0.65,0.81,352
-0.3519,-0.0431,9.5277,-0.1071,-0.0914,9.8056,0.0428,-0.0367,0.0159,-2.5,21.9,-43.2,6.63,0.61,0.67,454
-0.2215,-0.006,9.7624,-0.0754,-0.061,9.8062,0.033,-0.0232,-0.0073,-2.4,22,-43,6.12,0.36,0.44,555
-0.261,-0.1089,9.7719,-0.0559,-0.0474,9.8064,0.0232,-0.044,-0.0061,-2.5,21.9,-42.9,5.88,0.28,0.33,657
-0.2538,-0.0455,9.6702,-0.0593,-0.0236,9.8064,0.0171,-0.0159,-0.0086,-2.6,21.8,-42.7,8.48,0.17,0.35,760
-0.1664,-0.0527,9.7839,-0.0505,-0.0185,9.8065,0.0354,-0.0049,0.0024,-2.8,21.8,-42.9,8.42,0.13,0.32,862
-0.1508,0.1209,9.76,-0.0311,-0.0036,9.8066,-0.0024,-0.0415,0.0073,-2.9,21.7,-43,8.12,0.02,0.18,964
-0.2478,0.0108,9.6367,-0.0129,-0.0066,9.8066,-0.0037,-0.0024,-0.011,-3.1,21.7,-43.2,7.92,0.04,0.08,1065
-0.0982,0.0072,9.7887,0.0127,-0.0017,9.8066,0.0122,-0.0574,-0.0122,-3.1,21.7,-43.3,7.8,0.03,0.01,1167
-0.1125,-0.0431,9.5852,0.037,-0.0115,9.8066,-0.0122,-0.044,0.0037,-3.3,21.7,-43.4,7.37,0.07,-0.22,1269
-0.0359,0.0347,9.7731,0.0961,-0.0195,9.8062,0.0037,-0.0929,0.0318,-3.4,21.7,-43.3,7,0.13,-0.42,1371
-0.0622,0.0287,9.7252,0.1225,0.0047,9.8059,0.0318,-0.0024,0.0122,-3.7,21.8,-43.5,8.94,0.02,-0.72,1473
0,0.0934,9.8138,0.1,0.0232,9.8061,0.0098,0.0476,0.0073,-3.9,21.8,-43.4,9.03,-0.1,-0.65,1576
-0.0742,0.0275,9.663,0.0736,0.0209,9.8064,0,0.0171,0.0086,-3.8,21.6,-43.3,9.45,-0.12,-0.43,1677
-0.0718,-0.0215,9.7552,0.0637,0.0168,9.8064,-0.0208,-0.0073,0.0183,-3.7,21.6,-43.4,9.56,-0.14,-0.37,1779
-0.0622,0.1018,9.6774,0.0548,0.0323,9.8064,0.0171,0.0147,0.022,-3.6,21.5,-43.8,9.62,-0.19,-0.32,1881
-0.0503,0.1365,9.5505,0.043,0.024,9.8065,-0.0012,0.0171,0.0379,-3.5,21.4,-43.6,7.5,-0.11,-0.29,1984
-0.0395,0.1891,9.7612,0.0254,0.0383,9.8065,0.0379,0.0024,0.0037,-3.3,21.3,-43.6,7.76,-0.22,-0.15,2085
-0.1269,0.1712,9.4954,0.035,0.0323,9.8065,0.0086,0.0098,0.0269,-3.2,21.4,-43.4,7.67,-0.19,-0.2,2188
-0.0754,0.1724,9.8186,0.0521,0.0513,9.8064,0.0098,-0.0147,0.0037,-3.3,21.4,-43.4,7.53,-0.27,-0.26,2290
-0.0922,0.1401,9.7803,0.0502,0.063,9.8063,0.0086,0.0061,-0.0061,-3.3,21.4,-43.2,7.44,-0.37,-0.29,2391
-0.1437,0.158,9.6415,0.0212,0.0501,9.8065,-0.0024,-0.0012,-0.0208,-3.2,21.3,-42.9,7.79,-0.3,-0.13,2493
-0.079,0.0563,9.7588,0.0178,0.0298,9.8066,-0.0061,-0.0037,0.0134,-3,21.3,-43,7.85,-0.21,-0.11,2595
-0.103,0.0802,9.6618,0.0152,0.0281,9.8066,-0.0098,-0.0049,0.0147,-3.1,21.3,-43.1,7.91,-0.16,-0.09,2698
-0.0718,0.0108,9.7001,0.0391,0.0254,9.8065,0.0171,-0.0257,0.0208,-3.2,21.3,-43.6,7.62,-0.15,-0.23,2800
-0.0742,0.0898,9.7288,0.0708,0.0421,9.8063,0.0061,-0.011,0.044,-3.3,21.4,-43.8,7.21,-0.25,-0.41,2901
-0.0682,0.1125,9.6486,0.0638,0.0556,9.8063,-0.0086,-0.0122,0.0281,-3.3,21.4,-43.7,7.24,-0.27,-0.4,3004
-0.012,0.0802,9.8713,0.0859,0.032,9.8062,-0.0195,-0.0269,0.0024,-3.4,21.5,-43.4,6.76,-0.19,-0.5,3105
-0.0455,0.1891,9.8162,0.081,0.0444,9.8062,-0.0024,0.0049,0.0232,-3.3,21.5,-43.4,6.8,-0.26,-0.47,3207
-0.1006,0.1209,9.5457,0.0464,0.0427,9.8064,-0.0134,0.0269,-0.0037,-3.3,21.4,-43.2,7.52,-0.25,-0.27,3309
-0.1018,0.0407,9.5612,0.0311,0.0374,9.8065,0.0024,0.0171,-0.0171,-3.2,21.2,-43.3,7.63,-0.21,-0.22,3411
-0.0503,-0.0156,9.827,0.0417,0.0458,9.8065,-0.0159,-0.022,-0.0061,-3.1,21.2,-43.4,7.57,-0.27,-0.24,3514
-0.1113,0.1185,9.6678,0.0403,0.0301,9.8065,-0.0037,-0.0012,0.044,-3.1,21.2,-43.5,7.61,-0.18,-0.24,3616
-0.1532,0.0515,9.7384,0.031,0.0306,9.8066,-0.0134,-0.0147,0.022,-3.1,21.2,-43.8,7.67,-0.21,-0.2,3717
-0.0838,0.1389,9.7624,0.035,0.0421,9.8065,0.0122,-0.0098,0.0073,-3.2,21.3,-44,7.65,-0.22,-0.2,3819
-0.1006,0.1915,9.6582,0.0078,0.0453,9.8065,0.0024,0.0122,0.0305,-3.1,21.4,-44,7.91,-0.25,-0.07,3922
-0.1065,0.0658,9.8019,0,0.0451,9.8065,0.0049,-0.0269,0.0024,-3.1,21.5,-43.8,7.7,-0.26,0,4023
-0.164,0.0766,9.7707,-0.0051,0.0458,9.8065,0.0122,0.0147,0.0183,-3,21.4,-43.5,8.11,-0.27,0.03,4125
-0.1616,0.1125,9.7707,-0.0223,0.0443,9.8065,-0.0098,0.0183,-0.0024,-2.9,21.4,-43.7,8.32,-0.26,0.13,4228
