accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.729,0.6261,9.9288,-0.6497,0.6178,9.7656,-0.0159,-0.0415,0.0171,5.1,16.3,-43.9,353.71,-3.61,3.81,37
-0.6165,0.656,9.6403,-0.6446,0.5969,9.7672,-0.0134,-0.0195,0.0379,5.1,16.4,-44.1,353.7,-3.5,3.81,139
-0.5662,0.6321,9.5648,-0.6069,0.5822,9.7705,-0.0024,-0.0257,0.0073,5.2,16.6,-43.6,353.41,-3.4,3.55,242
-0.565,0.5794,9.8007,-0.576,0.5599,9.7737,-0.0183,-0.0586,-0.0098,5.1,16.7,-43.7,353.2,-3.36,3.47,343
-0.6009,0.5483,9.8043,-0.5668,0.5559,9.7745,-0.0086,-0.0159,-0.0098,5,16.8,-43.5,352.72,-3.27,3.34,445
-0.6177,0.4944,9.839,-0.5589,0.5586,9.7748,0.0464,-0.0195,0.0098,4.8,16.8,-43.6,352.88,-3.21,3.34,547
-0.5602,0.6225,9.5756,-0.5599,0.5838,9.7732,-0.0208,-0.0024,-0.0257,4.7,16.9,-43.4,352.68,-3.44,3.3,649
-0.6883,0.5567,9.5433,-0.5694,0.5743,9.7732,0.0012,0.0122,-0.0208,4.7,16.9,-43.8,352.83,-3.38,3.3,752
-0.6117,0.5519,9.7671,-0.5677,0.5719,9.7735,0.0073,0.0024,-0.0183,4.7,16.9,-43.5,352.65,-3.34,3.31,853
-0.6776,0.6177,9.4511,-0.5739,0.5905,9.772,-0.0208,0.0012,-0.0452,4.7,16.7,-43.8,352.98,-3.47,3.35,955
-0.8009,0.4405,9.8067,-0.5737,0.5453,9.7747,-0.0684,-0.0147,-0.0428,4.6,16.7,-43.6,353.05,-3.29,3.41,1057
-0.5758,0.565,9.7624,-0.5522,0.5293,9.7768,0.0073,0.0147,0.0024,4.6,16.7,-43.9,352.55,-3.08,3.21,1159
-0.6536,0.5219,9.5648,-0.5472,0.5397,9.7765,-0.0513,-0.0147,-0.0171,4.5,16.9,-43.8,352.56,-3.15,3.2,1261
-0.5411,0.4621,9.8162,-0.5394,0.4889,9.7796,-0.0367,0.0037,-0.011,4.5,17,-44,352.45,-2.97,3.18,1363
-0.595,0.5962,9.7671,-0.563,0.4785,9.7788,-0.0379,0.0305,-0.0489,4.6,17,-43.7,352.57,-2.85,3.25,1466
-0.5842,0.4717,10.0078,-0.5681,0.4506,9.7798,-0.0024,0.0012,-0.0305,4.6,16.9,-43.6,352.66,-2.69,3.31,1567
-0.6584,0.5207,9.5984,-0.5731,0.4767,9.7783,0.0672,0.011,0.0049,4.5,17,-43.5,352.61,-2.79,3.35,1670
-0.6093,0.5902,9.3661,-0.5842,0.5336,9.7747,0.0391,0.0061,-0.0122,4.6,16.9,-43.6,352.96,-3.01,3.4,1771
