sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1628;-0.0467;9.7695;-0.0012;-0.0012;0.0;-46.6;-134.7;-65.4;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;43;2015-09-17 17:12:31:946
-0.164;-0.0431;9.7468;0.0;0.0061;0.0;-46.2;-134.7;-65.0;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;543;2015-09-17 17:12:32:446
-0.1556;-0.0455;9.7671;0.0012;0.0012;0.0;-46.3;-134.8;-64.9;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;1043;2015-09-17 17:12:32:946
-0.1604;-0.0431;9.7624;0.0;0.0012;-0.0012;-46.2;-134.8;-64.9;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;1543;2015-09-17 17:12:33:446
-0.1676;-0.0395;9.7887;0.0;0.0037;-0.0012;-46.3;-134.8;-64.6;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;2043;2015-09-17 17:12:33:946
-0.1724;-0.0443;9.7839;0.0012;0.0037;-0.0012;-46.3;-134.6;-65.4;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;2543;2015-09-17 17:12:34:446
-0.1688;-0.0407;9.7971;0.0;-0.0012;0.0;-46.2;-134.8;-65.3;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;3043;2015-09-17 17:12:34:946
-0.1616;-0.0431;9.7899;0.0012;0.0024;-0.0012;-46.4;-135.0;-65.2;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;3543;2015-09-17 17:12:35:446
-0.3831;-0.0491;9.7959;0.0;-0.0195;-0.0183;-46.3;-134.8;-65.1;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;4043;2015-09-17 17:12:35:946
-0.1664;-0.255;9.6726;-0.055;-0.0806;0.0269;-45.3;-133.3;-67.6;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;4543;2015-09-17 17:12:36:446
-1.2653;-0.0443;9.8126;-0.2541;0.0819;0.0916;-42.6;-114.7;-34.8;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;5043;2015-09-17 17:12:36:946
-0.8368;-0.6129;9.9635;-0.2541;0.3494;0.0953;-38.9;-89.9;-15.1;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;5543;2015-09-17 17:12:37:446
-1.5191;0.1712;9.7217;0.0648;-0.0538;0.1295;-29.9;-78.6;-7.7;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;6043;2015-09-17 17:12:37:946
-0.8332;0.2382;9.7193;-0.0037;0.16;0.3189;-40.7;-54.7;3.5;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;6543;2015-09-17 17:12:38:446
-0.0431;0.4178;8.9962;0.2321;0.171;0.0489;-41.7;-45.4;4.5;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;7044;2015-09-17 17:12:38:947
-0.0934;0.7099;10.6793;0.0415;-0.4423;-0.3128;-47.4;-52.8;6.9;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;7543;2015-09-17 17:12:39:446
2.727;0.662;9.0644;-0.1662;0.088;0.11;-59.4;-59.5;23.2;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;8043;2015-09-17 17:12:39:946
-0.8128;-0.0563;8.4527;-0.215;0.2908;-0.733;-47.9;-48.9;5.3;36.814346;-119.74835;;336.63224099724533;;230.10323;;0 / 0;8543;2015-09-17 17:12:40:446
