ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0323,1.8016,9.6881,0.1166,1.7084,9.656,0.0281,-0.0183,0.0318,-14.1,13.9,-48.1,31.19,-10.03,-0.69,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,73,2015-10-30 10:08:39:802
0.1269,1.6245,9.645,0.0968,1.733,9.6518,0.088,0.0318,0.0195,-14.0,13.6,-48.5,31.24,-10.18,-0.57,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,175,2015-10-30 10:08:39:904
-0.3172,1.737,9.6534,0.0028,1.8211,9.6361,0.0806,0.1381,0.0037,-13.8,13.4,-48.5,32.61,-10.6,-0.21,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,276,2015-10-30 10:08:40:005
0.1939,1.8495,9.42,-0.0273,1.8647,9.6277,0.0049,0.0037,0.0672,-13.4,13.1,-48.7,30.76,-10.96,0.16,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,378,2015-10-30 10:08:40:107
-0.0431,1.8292,9.6917,-0.0728,1.8779,9.6249,0.0611,0.0574,0.0929,-13.1,13.0,-48.7,31.12,-10.99,0.39,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,480,2015-10-30 10:08:40:209
0.0742,1.9585,9.5277,-0.1448,1.8738,9.6249,-0.0122,0.0049,0.2663,-12.6,12.9,-48.6,31.83,-11.1,0.88,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,583,2015-10-30 10:08:40:312
0.0144,2.0195,9.3913,-0.1273,1.8585,9.6281,-0.0342,0.0501,0.2798,-12.3,12.9,-48.7,29.77,-10.96,0.72,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,685,2015-10-30 10:08:40:414
0.4022,2.0794,10.1658,-0.1681,1.811,9.6365,-0.0806,-0.022,0.2187,-11.5,13.2,-48.7,28.55,-10.64,1.0,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,786,2015-10-30 10:08:40:515
-0.3663,2.0913,9.8186,-0.3213,1.942,9.6071,-0.099,0.1784,0.3604,-11.0,13.4,-48.8,28.95,-11.02,1.42,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,888,2015-10-30 10:08:40:617
-0.4776,2.0099,9.098,-0.3075,1.8899,9.6179,-0.0464,-0.0843,0.2407,-9.7,13.4,-48.7,27.82,-10.74,1.79,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,990,2015-10-30 10:08:40:719
-0.255,1.506,9.578,-0.273,1.6544,9.6622,-0.6084,-0.1393,0.193,-9.0,13.3,-48.7,25.93,-10.73,1.9,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1092,2015-10-30 10:08:40:821
-0.5938,1.3563,9.5158,-0.3436,1.46,9.6913,0.3103,0.0,0.0648,-8.1,14.0,-48.1,25.02,-8.18,1.96,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1194,2015-10-30 10:08:40:923
-0.2239,1.6388,9.8809,-0.4135,1.7029,9.6488,-0.055,-0.0269,-0.0721,-7.8,14.5,-47.9,23.73,-10.04,2.57,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1296,2015-10-30 10:08:41:025
-0.5028,2.138,8.9519,-0.4334,1.8154,9.6274,0.2297,0.0061,-0.0831,-7.5,14.6,-47.5,21.5,-10.27,2.56,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1398,2015-10-30 10:08:41:127
-0.2705,1.7945,9.0513,-0.3688,1.9165,9.6105,0.0806,0.0892,-0.16,-7.4,13.8,-48.2,20.97,-11.27,2.2,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1501,2015-10-30 10:08:41:230
-1.5263,1.3647,9.4284,-0.5734,1.792,9.6245,-0.2712,-0.1466,-0.1943,-7.4,13.6,-48.2,23.26,-10.69,3.24,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1602,2015-10-30 10:08:41:331
-0.1365,1.1732,9.9216,-0.5777,1.5625,9.6641,-0.1148,0.0941,0.3262,-7.8,14.0,-48.7,26.86,-9.17,3.42,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1704,2015-10-30 10:08:41:433
-0.395,1.5323,9.5062,-0.5655,1.6017,9.6584,0.3018,0.0476,-0.0586,-7.8,14.4,-48.7,26.79,-8.78,3.2,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1807,2015-10-30 10:08:41:536
-0.7889,1.0032,8.8406,-0.5657,1.5301,9.67,0.237,0.1002,-0.0037,-7.9,14.8,-48.5,25.5,-9.18,3.21,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,1908,2015-10-30 10:08:41:637
-0.2801,0.6416,9.5708,-0.5755,1.3221,9.7001,-0.1454,-0.0476,0.2236,-7.8,15.0,-48.4,26.99,-7.75,3.4,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,2011,2015-10-30 10:08:41:740
-0.8954,1.5909,9.7552,-0.457,1.4428,9.6892,0.1014,0.0635,0.0965,-7.9,15.0,-48.1,25.15,-8.34,2.64,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,2113,2015-10-30 10:08:41:842
-0.7147,1.7585,10.07,-0.4946,1.633,9.6571,0.2871,0.1234,0.3519,-7.8,15.2,-48.3,24.5,-9.1,2.61,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,2215,2015-10-30 10:08:41:944
0.0036,1.7358,8.9938,-0.4447,1.7228,9.6439,0.1283,-0.077,0.3433,-7.3,14.6,-48.8,22.16,-9.7,2.77,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,17 / 17,2316,2015-10-30 10:08:42:045
