ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2095,0.5674,9.5493,0.0104,0.4179,9.7977,-0.0721,-0.2492,-0.0354,-1.6,19.3,-45.4,6.17,-2.56,0.34,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,36,2015-10-30 10:12:41:857
-0.0431,0.7997,9.3182,0.3418,0.2732,9.7969,-0.1026,-0.2761,0.0171,-2.4,19.7,-45.2,1.16,-1.6,-2.0,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,138,2015-10-30 10:12:41:959
0.5626,0.6895,10.1514,0.5392,0.1358,9.7909,-0.2077,-0.1735,0.0916,-3.3,20.1,-45.2,1.89,-1.1,-2.94,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,239,2015-10-30 10:12:42:060
0.674,0.346,9.7492,0.4992,0.1259,9.7931,0.1625,0.0599,0.0024,-4.2,20.8,-44.7,4.52,-0.74,-2.92,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,341,2015-10-30 10:12:42:162
0.0192,0.3555,9.6977,0.4529,0.25,9.793,0.16,0.1393,-0.0367,-4.5,21.0,-44.7,4.95,-1.46,-2.65,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,444,2015-10-30 10:12:42:265
0.4166,0.2514,9.5361,0.2976,0.3315,9.7965,0.0428,0.1539,0.1393,-4.2,20.7,-45.0,6.67,-1.94,-1.74,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,545,2015-10-30 10:12:42:366
-0.0323,-0.2837,10.3513,0.178,0.1554,9.8038,0.0012,0.16,0.0403,-3.9,20.5,-45.1,7.67,-1.0,-1.36,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,648,2015-10-30 10:12:42:469
0.3172,-0.0467,9.238,0.2193,0.1988,9.8022,-0.0244,0.0073,-0.0721,-3.3,20.4,-45.0,5.44,-1.16,-1.28,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,749,2015-10-30 10:12:42:570
0.0419,0.0287,9.9383,0.2258,0.1311,9.8032,-0.0916,-0.0232,-0.0819,-3.1,20.6,-44.6,5.18,-0.89,-1.32,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,851,2015-10-30 10:12:42:672
0.2526,0.2562,10.0137,0.218,0.079,9.8039,-0.0342,-0.0586,-0.0696,-3.2,20.8,-44.5,5.41,-0.46,-1.27,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,954,2015-10-30 10:12:42:775
0.0575,0.4693,9.736,0.228,0.1025,9.8035,0.0024,-0.0562,-0.1185,-3.3,21.0,-44.6,5.3,-0.58,-1.29,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,1056,2015-10-30 10:12:42:877
0.2562,1.0511,9.0214,0.2848,0.1651,9.8011,0.088,-0.077,-0.1002,-3.6,21.2,-44.8,7.05,-0.96,-1.66,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,1157,2015-10-30 10:12:42:978
-0.1496,1.9046,10.2197,0.3162,0.0678,9.8013,-0.1466,0.0049,-0.0733,-3.9,21.2,-44.7,6.81,-0.4,-1.85,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,1260,2015-10-30 10:12:43:081
0.2562,1.9345,9.5385,0.3196,0.1189,9.8007,-0.1918,-0.1344,-0.1087,-4.2,21.4,-44.4,6.79,-0.69,-1.87,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,1361,2015-10-30 10:12:43:182
0.3496,1.9213,9.4631,0.4001,0.0443,9.7984,-0.0147,0.066,-0.1332,-4.6,21.7,-44.3,8.2,-0.26,-2.34,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,1464,2015-10-30 10:12:43:285
-0.0168,2.1644,9.4451,0.2768,0.3235,9.7974,0.0037,0.0244,-0.0672,-5.0,22.1,-44.1,9.13,-1.38,-1.68,36.814056,-119.74735,260.11,336.86720523644766,0.66,12.903226,,17 / 17,1565,2015-10-30 10:12:43:386
