ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.2905,0.595,8.7161,-0.3841,0.7111,9.7733,0.2578,0.3445,-0.8149,15.9,-11.3,-43.4,241.36,-4.16,2.25,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,44,2015-10-30 10:13:33:603
1.4246,-0.0778,11.0852,-0.3582,0.5212,9.7862,-0.1429,-0.0867,0.1307,16.3,-9.8,-43.2,241.98,-3.05,2.1,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,145,2015-10-30 10:13:33:704
-0.0718,0.8368,9.3482,-0.585,0.835,9.7535,0.3995,0.1332,-0.3005,16.9,-9.0,-42.8,248.63,-4.14,2.84,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,248,2015-10-30 10:13:33:807
-0.5375,1.2845,8.9615,-0.6784,1.2053,9.7086,0.3763,-0.077,-0.5168,17.8,-8.6,-41.9,256.43,-7.06,4.0,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,350,2015-10-30 10:13:33:909
-1.4736,1.087,8.9615,-0.8607,1.1529,9.7005,-0.4484,0.1246,-0.5156,18.1,-8.4,-41.4,258.33,-6.75,5.07,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,451,2015-10-30 10:13:34:010
-1.1744,0.8906,9.7815,-0.9376,0.7423,9.7335,-0.1112,-0.2248,0.0635,18.8,-7.2,-40.9,255.94,-4.34,5.5,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,554,2015-10-30 10:13:34:113
-3.055,-0.4776,9.6905,-0.7794,0.5367,9.7609,-0.204,-0.0696,-0.1002,18.6,-5.8,-41.0,257.76,-3.5,4.57,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,656,2015-10-30 10:13:34:215
-0.8236,0.6404,9.675,-0.5829,0.6342,9.7687,0.0965,-0.1381,0.0012,18.2,-4.4,-41.8,265.43,-3.67,3.44,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,757,2015-10-30 10:13:34:316
-1.0187,0.674,9.4367,-0.6251,0.6324,9.7663,-0.0024,0.0134,-0.0159,17.4,-3.9,-42.0,265.12,-3.7,3.66,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,860,2015-10-30 10:13:34:419
-0.8691,0.6237,9.7109,-0.5904,0.6066,9.7701,-0.0122,-0.0379,-0.0012,17.3,-4.0,-42.2,264.85,-3.59,3.44,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,961,2015-10-30 10:13:34:520
-0.6644,0.5997,9.7013,-0.5047,0.6019,9.7751,-0.0049,-0.1698,0.0281,17.3,-4.0,-42.0,264.74,-3.52,2.96,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1063,2015-10-30 10:13:34:622
-0.7793,0.6704,9.5289,-0.4542,0.6013,9.7777,-0.011,-0.0525,0.0733,17.4,-4.2,-42.4,264.81,-3.53,2.76,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1165,2015-10-30 10:13:34:724
-0.4609,0.6728,10.1311,-0.3854,0.576,9.7821,-0.0599,-0.0281,0.0489,17.4,-4.3,-42.3,264.45,-3.37,2.26,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1267,2015-10-30 10:13:34:826
-0.5183,0.6692,9.815,-0.3802,0.5649,9.783,0.0086,-0.0061,0.044,17.4,-4.4,-42.3,264.25,-3.29,2.23,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1369,2015-10-30 10:13:34:928
-0.4106,0.7554,9.5349,-0.3776,0.6064,9.7806,0.033,0.0171,0.0452,17.3,-4.5,-42.1,264.96,-3.55,2.21,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1472,2015-10-30 10:13:35:031
-0.6189,0.577,9.7121,-0.3971,0.6101,9.7796,0.0208,0.0073,0.0086,17.2,-4.5,-42.4,265.0,-3.56,2.26,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1574,2015-10-30 10:13:35:133
-0.6045,0.5878,9.6738,-0.3996,0.624,9.7786,0.0098,0.0086,0.0049,17.2,-4.7,-42.5,261.52,-3.65,2.34,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1676,2015-10-30 10:13:35:235
-0.7757,0.5171,9.6654,-0.4157,0.6121,9.7787,-0.0147,-0.0195,-0.0122,17.3,-4.7,-42.6,261.59,-3.61,2.44,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1777,2015-10-30 10:13:35:336
-0.7314,0.5674,9.6163,-0.4255,0.6186,9.7779,-0.0049,-0.0183,-0.0232,17.5,-4.8,-42.4,261.92,-3.62,2.49,36.81401,-119.74732,250.04,336.8658285960256,0.85,19.35484,,17 / 17,1879,2015-10-30 10:13:35:438
