ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2179,0.0527,9.4942,-0.2137,0.1811,9.8026,0.0611,-0.0305,-0.0318,-17.2,18.0,-17.7,43.57,-0.97,1.3,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,53,2015-10-30 10:49:13:058
-0.2741,0.0527,9.7528,-0.2234,0.202,9.802,-0.0098,0.0012,-0.0257,-17.1,17.9,-17.8,43.46,-1.2,1.3,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,155,2015-10-30 10:49:13:160
-0.3843,0.1161,9.7671,-0.2318,0.2044,9.8018,0.0073,0.0012,0.0354,-17.0,17.8,-17.6,43.49,-1.19,1.35,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,257,2015-10-30 10:49:13:262
-0.4022,0.146,9.6223,-0.239,0.2122,9.8014,0.022,-0.0171,-0.0073,-17.1,18.0,-17.4,43.47,-1.22,1.35,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,359,2015-10-30 10:49:13:364
-0.2454,0.2083,9.7348,-0.2653,0.2257,9.8005,0.033,-0.0049,0.0403,-17.1,18.1,-17.2,43.55,-1.26,1.56,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,461,2015-10-30 10:49:13:466
-0.3244,0.1365,9.6307,-0.289,0.2345,9.7996,-0.0012,0.0208,0.0257,-17.1,18.2,-17.4,43.57,-1.37,1.69,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,563,2015-10-30 10:49:13:568
-0.3986,0.1915,9.7217,-0.306,0.23,9.7992,-0.0012,0.0159,-0.0024,-17.0,18.3,-17.6,43.64,-1.35,1.77,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,665,2015-10-30 10:49:13:670
-0.4741,0.1413,9.9,-0.3033,0.2232,9.7994,0.0037,-0.0061,0.0012,-17.0,18.4,-17.7,43.66,-1.29,1.78,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,767,2015-10-30 10:49:13:772
-0.4238,0.1676,9.6642,-0.3051,0.2414,9.7989,0.0183,0.0159,0.0257,-17.0,18.4,-17.5,43.6,-1.37,1.75,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,869,2015-10-30 10:49:13:874
-0.4034,0.2131,9.5217,-0.32,0.2638,9.7979,-0.0024,0.0037,0.0452,-16.9,18.4,-17.3,43.59,-1.5,1.84,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,971,2015-10-30 10:49:13:976
-0.3041,0.2047,9.7049,-0.3195,0.2651,9.7979,0.0,0.0171,0.0098,-16.8,18.5,-17.4,42.04,-1.57,1.83,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1072,2015-10-30 10:49:14:077
-0.34,0.2095,9.6343,-0.3248,0.2574,9.7979,-0.0171,0.0232,-0.011,-16.6,18.6,-17.4,42.1,-1.5,1.9,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1175,2015-10-30 10:49:14:180
-0.48,0.2286,9.7719,-0.3409,0.2397,9.7977,0.0134,-0.0024,-0.0122,-16.5,18.6,-17.6,40.53,-1.43,1.97,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1277,2015-10-30 10:49:14:282
-0.3831,0.1736,9.7995,-0.3269,0.2394,9.7983,-0.0012,-0.0195,-0.0195,-16.6,18.7,-17.5,42.18,-1.4,1.97,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1378,2015-10-30 10:49:14:383
-0.4274,0.1628,9.6798,-0.3257,0.2458,9.7982,0.0073,-0.0037,-0.0086,-16.6,18.7,-17.3,42.14,-1.42,1.9,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1481,2015-10-30 10:49:14:486
-0.4824,0.1796,9.5732,-0.3247,0.2401,9.7983,-0.0318,0.0,-0.0037,-16.7,18.7,-17.5,42.15,-1.4,1.91,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1583,2015-10-30 10:49:14:588
-0.4741,0.1987,9.8078,-0.3203,0.2166,9.799,-0.0195,-0.0098,0.0012,-16.8,18.7,-17.9,42.2,-1.28,1.87,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1685,2015-10-30 10:49:14:690
-0.3675,0.1688,9.7636,-0.311,0.2142,9.7994,-0.0024,-0.033,0.0049,-16.9,18.7,-18.1,42.21,-1.26,1.86,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1787,2015-10-30 10:49:14:792
-0.4214,0.2298,9.663,-0.3223,0.21,9.7991,-0.0037,0.0049,-0.0086,-16.9,18.7,-18.1,42.23,-1.23,1.88,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1889,2015-10-30 10:49:14:894
-0.3639,0.267,9.6271,-0.315,0.2107,9.7993,-0.0122,-0.0049,-0.0098,-16.8,18.7,-17.8,42.23,-1.21,1.87,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1991,2015-10-30 10:49:14:996
-0.4405,0.1844,9.7719,-0.3042,0.2018,9.7999,0.0073,-0.033,-0.0012,-16.7,18.5,-17.5,42.18,-1.18,1.78,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2092,2015-10-30 10:49:15:097
-0.407,0.2358,9.6558,-0.2987,0.1899,9.8003,0.0049,-0.0195,-0.0086,-16.6,18.3,-17.4,43.71,-1.13,1.76,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2195,2015-10-30 10:49:15:200
-0.4142,0.2083,9.8126,-0.295,0.1858,9.8005,0.0134,0.0,0.0122,-16.7,18.3,-17.6,43.73,-1.09,1.72,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2297,2015-10-30 10:49:15:302
-0.4118,0.2167,9.7695,-0.2826,0.2253,9.8,0.0586,-0.0318,0.0147,-16.8,18.2,-17.4,43.62,-1.24,1.67,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2399,2015-10-30 10:49:15:404
-0.3998,0.2693,9.7432,-0.2798,0.2525,9.7994,0.0342,-0.0208,0.0171,-16.9,18.3,-17.4,43.54,-1.42,1.66,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2501,2015-10-30 10:49:15:506
-0.3771,0.3208,9.7037,-0.2907,0.2487,9.7992,-0.0147,-0.0037,0.022,-17.0,18.2,-17.3,43.53,-1.46,1.7,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2603,2015-10-30 10:49:15:608
-0.4477,0.2873,9.7767,-0.2955,0.2337,9.7994,-0.0183,0.0012,0.0147,-17.0,18.1,-17.5,43.56,-1.4,1.69,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2705,2015-10-30 10:49:15:710
-0.4729,0.243,9.7013,-0.304,0.2239,9.7994,-0.011,0.0122,0.0147,-17.0,18.2,-17.6,43.63,-1.33,1.76,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2807,2015-10-30 10:49:15:812
-0.3879,0.2406,9.7444,-0.3011,0.2096,9.7998,-0.0415,-0.0098,0.0159,-16.9,18.3,-17.8,43.68,-1.22,1.76,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,2909,2015-10-30 10:49:15:914
-0.3579,0.243,9.7659,-0.3011,0.1828,9.8003,-0.0476,-0.0073,0.0305,-16.9,18.4,-17.7,43.71,-1.14,1.73,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,3011,2015-10-30 10:49:16:016
-0.4693,0.2107,9.7588,-0.2993,0.1635,9.8007,-0.0122,0.0037,0.0232,-16.8,18.4,-17.7,43.77,-0.98,1.71,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,3112,2015-10-30 10:49:16:117
-0.4058,0.2215,9.7588,-0.3085,0.1449,9.8007,-0.0159,0.0024,0.0208,-16.9,18.3,-17.7,43.88,-0.85,1.8,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,3215,2015-10-30 10:49:16:220
-0.4094,0.1891,9.6546,-0.3158,0.1543,9.8004,0.0086,-0.0037,0.0195,-16.8,18.3,-17.7,43.93,-0.84,1.88,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,3317,2015-10-30 10:49:16:322
-0.5052,0.1401,9.6438,-0.3134,0.1526,9.8005,-0.0049,-0.011,0.0305,-16.8,18.4,-17.7,43.86,-0.9,1.81,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,3419,2015-10-30 10:49:16:424
