sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1448;-0.0311;9.681;0.0;0.0;0.0012;-55.0;-3.6;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;31;2015-09-17 17:18:17:040
-0.1389;-0.0335;9.669;0.0024;0.0024;0.0;-55.1;-3.7;107.2;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;133;2015-09-17 17:18:17:142
-0.1365;-0.0168;9.7181;-0.0012;0.0012;0.0012;-55.1;-3.7;107.1;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;235;2015-09-17 17:18:17:244
-0.1389;-0.0204;9.6786;0.0;0.0012;0.0;-55.1;-3.7;107.2;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;337;2015-09-17 17:18:17:346
-0.1329;-0.0299;9.6881;0.0012;-0.0012;0.0012;-55.1;-3.7;107.4;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;439;2015-09-17 17:18:17:448
-0.1425;-0.0383;9.7097;0.0024;-0.0024;0.0024;-55.0;-3.7;108.0;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;541;2015-09-17 17:18:17:550
-0.1329;-0.0215;9.663;0.0012;0.0037;0.0;-55.0;-3.7;108.2;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;643;2015-09-17 17:18:17:652
-0.1281;-0.0407;9.7217;-0.0012;0.0;-0.0012;-55.0;-3.7;108.3;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;745;2015-09-17 17:18:17:754
-0.146;-0.0227;9.6654;-0.0012;0.0012;-0.0024;-54.9;-3.7;108.2;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;847;2015-09-17 17:18:17:856
-0.1329;-0.0287;9.6989;-0.0012;0.0012;-0.0012;-55.1;-3.7;107.9;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;949;2015-09-17 17:18:17:958
-0.1317;-0.0323;9.6762;-0.0024;0.0024;-0.0012;-55.1;-3.7;107.8;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1051;2015-09-17 17:18:18:060
-0.1401;-0.0263;9.7241;0.0012;0.0012;0.0;-55.1;-3.7;107.6;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1153;2015-09-17 17:18:18:162
-0.1281;-0.0395;9.7013;0.0;0.0037;-0.0012;-55.0;-3.7;107.6;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1255;2015-09-17 17:18:18:264
-0.1353;-0.0263;9.6953;0.0012;0.0;-0.0012;-55.0;-3.7;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1357;2015-09-17 17:18:18:366
-0.1377;-0.0395;9.681;-0.0012;0.0012;-0.0012;-55.0;-3.7;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1459;2015-09-17 17:18:18:468
-0.1532;-0.0239;9.6929;0.0;0.0024;0.0;-55.0;-3.7;107.7;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1561;2015-09-17 17:18:18:570
-0.1413;-0.0156;9.6929;-0.0012;0.0012;0.0;-55.1;-3.7;107.6;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1664;2015-09-17 17:18:18:673
-0.1508;-0.0383;9.7636;0.0;0.0024;-0.0024;-55.1;-3.7;107.6;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1766;2015-09-17 17:18:18:775
-0.1425;-0.0275;9.73;0.0012;0.0012;0.0;-55.2;-3.7;107.6;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1867;2015-09-17 17:18:18:876
-0.1353;-0.0239;9.7013;0.0012;0.0024;-0.0012;-55.2;-3.7;107.6;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;1969;2015-09-17 17:18:18:978
-0.1305;-0.0287;9.7181;0.0;0.0;0.0;-55.1;-3.7;107.7;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2072;2015-09-17 17:18:19:081
-0.1425;-0.0192;9.7205;0.0012;0.0;-0.0012;-55.1;-3.8;107.8;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2173;2015-09-17 17:18:19:182
-0.1413;-0.0215;9.6869;-0.0037;0.0;0.0;-55.1;-3.7;107.8;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2276;2015-09-17 17:18:19:285
-0.1341;-0.0287;9.7025;0.0012;0.0024;0.0;-55.1;-3.6;107.7;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2378;2015-09-17 17:18:19:387
-0.1413;-0.0215;9.7049;0.0024;0.0012;0.0;-55.1;-3.7;107.8;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2480;2015-09-17 17:18:19:489
-0.1437;-0.0347;9.6762;0.0;0.0;-0.0012;-55.2;-3.7;107.8;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2581;2015-09-17 17:18:19:590
-0.1221;-0.0192;9.7001;0.0;0.0;0.0;-55.2;-3.8;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2683;2015-09-17 17:18:19:692
-0.1425;-0.0204;9.7312;0.0012;0.0012;-0.0012;-55.2;-3.9;107.2;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2785;2015-09-17 17:18:19:794
-0.1484;-0.0192;9.6726;0.0012;0.0;0.0012;-55.1;-3.8;107.3;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2887;2015-09-17 17:18:19:896
-0.1425;-0.0192;9.6989;0.0012;0.0;0.0012;-55.3;-3.7;107.4;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;2989;2015-09-17 17:18:19:998
-0.1425;-0.0323;9.7169;0.0024;0.0;-0.0012;-55.3;-3.6;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;3091;2015-09-17 17:18:20:100
-0.1448;-0.0347;9.6845;0.0024;-0.0012;0.0;-55.3;-3.7;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;3193;2015-09-17 17:18:20:202
-0.146;-0.0251;9.6798;0.0024;0.0012;0.0;-55.2;-3.8;107.4;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;3295;2015-09-17 17:18:20:304
-0.1341;-0.0299;9.6953;0.0024;0.0012;0.0;-55.2;-3.8;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;3398;2015-09-17 17:18:20:407
-0.1425;-0.0419;9.6977;0.0;0.0037;-0.0012;-55.1;-4.1;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;3499;2015-09-17 17:18:20:508
-0.1329;-0.0383;9.6666;0.0;0.0;0.0012;-55.1;-4.0;107.5;36.814346;-119.74833;;336.63804808386834;;124.322586;;0 / 0;3601;2015-09-17 17:18:20:610
