ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5555,1.3144,9.9108,-0.5401,1.2952,9.7057,-0.0525,-0.0379,0.0098,-0.9,14.8,-47.2,9.73,-7.59,3.19,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,50,2015-10-30 10:09:03:118
-0.5602,1.3048,9.8737,-0.5139,1.2658,9.711,-0.055,-0.0208,0.0318,-1.0,15.0,-47.1,9.63,-7.49,3.12,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,153,2015-10-30 10:09:03:221
-0.48,1.1779,9.2608,-0.5254,1.2617,9.7109,0.0134,0.0623,0.033,-1.2,15.3,-47.2,9.43,-7.39,3.02,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,255,2015-10-30 10:09:03:323
-0.1676,1.142,9.5253,-0.4955,1.2017,9.7201,-0.0538,0.0391,-0.0464,-1.1,15.3,-46.9,9.38,-7.17,2.96,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,356,2015-10-30 10:09:03:424
-0.7171,1.3012,9.8988,-0.5252,1.1616,9.7234,-0.055,0.0293,-0.0745,-1.1,15.5,-46.7,9.36,-6.8,3.09,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,459,2015-10-30 10:09:03:527
-0.3591,1.142,9.748,-0.4859,1.1394,9.7281,-0.0379,-0.0391,0.0489,-0.9,15.6,-46.4,9.05,-6.7,2.97,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,560,2015-10-30 10:09:03:628
-0.5351,1.257,9.3553,-0.4532,1.1216,9.7318,0.0171,-0.0501,-0.0159,-1.2,15.9,-46.2,8.61,-6.55,2.74,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,662,2015-10-30 10:09:03:730
-0.2239,1.1133,9.7971,-0.4299,1.0795,9.7376,-0.0122,0.0354,0.022,-1.3,15.9,-46.4,8.27,-6.44,2.57,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,764,2015-10-30 10:09:03:832
-0.2933,1.1145,9.9599,-0.4319,1.0571,9.7399,-0.0525,0.0024,0.0195,-1.5,16.1,-46.6,8.37,-6.29,2.56,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,866,2015-10-30 10:09:03:934
-0.4154,1.1205,9.493,-0.4272,1.0795,9.7377,0.0183,-0.0086,0.0232,-1.6,16.2,-46.6,10.95,-6.29,2.52,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,968,2015-10-30 10:09:04:036
-0.249,1.0487,9.6403,-0.4302,1.0521,9.7405,-0.0122,0.0244,-0.0122,-1.6,16.3,-46.5,10.9,-6.22,2.52,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,1071,2015-10-30 10:09:04:139
-0.3579,1.1588,9.7767,-0.4514,1.0592,9.7388,-0.0098,0.0171,-0.0208,-1.6,16.3,-46.4,11.17,-6.21,2.65,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,1172,2015-10-30 10:09:04:240
-0.4549,1.136,9.5481,-0.4433,1.0759,9.7374,0.0269,-0.0269,-0.0183,-1.5,16.3,-46.4,8.47,-6.28,2.64,36.81401,-119.74728,273.08,336.99731547286586,2.45,309.6774,138.1,15 / 17,1275,2015-10-30 10:09:04:343
