ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6261,-0.504,9.5529,-0.2781,-0.8591,9.765,0.0489,-0.0122,0.0721,-45.6,56.8,-7.1,39.38,5.19,1.64,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,44,2015-10-30 10:48:32:367
-0.4836,-0.4764,9.3362,-0.1796,-0.7369,9.7773,0.0953,-0.1381,0.1747,-45.5,55.6,-8.5,39.26,4.55,1.28,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,147,2015-10-30 10:48:32:470
-0.5183,-0.4764,9.9814,-0.1857,-0.7441,9.7766,-0.0501,0.0195,0.1148,-45.2,55.0,-9.0,39.78,4.33,0.92,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,248,2015-10-30 10:48:32:571
-0.6692,-0.4549,9.8354,-0.2728,-0.7717,9.7724,-0.0867,0.0342,-0.0073,-44.6,54.7,-9.5,39.83,4.44,1.54,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,350,2015-10-30 10:48:32:673
0.1006,-0.0611,9.6319,-0.2155,-0.6849,9.7803,0.0684,0.0305,0.0305,-43.9,54.8,-9.5,39.15,4.18,1.24,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,452,2015-10-30 10:48:32:775
-0.7314,-0.5183,9.5864,-0.3278,-0.6696,9.7783,-0.0244,0.121,-0.0806,-43.7,54.7,-9.8,39.22,3.91,1.92,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,553,2015-10-30 10:48:32:876
-0.5578,-0.4705,9.8366,-0.3706,-0.6623,9.7772,0.0244,-0.0244,0.0183,-43.8,54.5,-10.1,39.24,3.96,2.21,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,656,2015-10-30 10:48:32:979
-0.583,-0.4369,9.7157,-0.4124,-0.6428,9.7769,0.0122,0.044,-0.0208,-43.9,54.3,-10.5,39.75,3.76,2.27,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,758,2015-10-30 10:48:33:081
-0.6045,-0.3711,9.7061,-0.3735,-0.5821,9.7822,0.0562,-0.1014,0.033,-44.1,54.0,-11.0,39.81,3.66,2.47,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,860,2015-10-30 10:48:33:183
-0.5447,-0.2059,9.4475,-0.3295,-0.5249,9.787,0.0452,-0.0305,-0.0024,-44.0,54.1,-11.4,39.72,3.17,2.01,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,962,2015-10-30 10:48:33:285
-0.6009,-0.2945,9.8653,-0.2973,-0.514,9.7887,-0.022,-0.0415,0.0,-44.1,54.0,-11.9,39.73,2.99,1.79,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1064,2015-10-30 10:48:33:387
-0.5602,-0.2466,9.6582,-0.2852,-0.4827,9.7906,0.0305,0.0024,-0.0061,-43.9,53.9,-12.4,39.69,2.82,1.67,36.814095,-119.74785,248.88,336.71549362204377,3.33,19.35484,272.63,0 / 0,1166,2015-10-30 10:48:33:489
